Antibody,Virus,IC50,IC80,ID50
10-1074,286_36,0.0003,,
10-1074,286_36,0.0003,,
10-1074,286_36,0.006,0.029,
10-1074,286_36,0.009,,
10-1074,286_36,0.009,0.063,
10-1074,2865_A11_12,2.057,,
10-1074,2865_A11_12,2.057,6.61,
10-1074,2869751_A4_D3,0.17,,
10-1074,2869751_A4_D3,0.17,0.504,
10-1074,288_38,0.0007,,
10-1074,288_38,0.0007,,
10-1074,288_38,0.021,0.047,
10-1074,288_38,0.024,,
10-1074,288_38,0.024,0.054,
10-1074,2891391_A2_E1,12.928,,
10-1074,2891391_A2_E1,12.928,>20,
10-1074,2936_BL_B10_3,0.004,0.016,
10-1074,2936_BL_C1_3,0.006,0.028,
10-1074,2936_BL_E10_2,0.004,0.023,
10-1074,2990_BL_F4_2,0.002,0.016,
10-1074,2990_V7_B5_2,0.003,0.013,
10-1074,2990_V7_B6_2,0.051,0.773,
10-1074,2990_V7_C10_3,0.002,0.011,
10-1074,3103_V3_C10,0.041,,
10-1074,3103_V3_C10,0.037,,
10-1074,3103_V3_C10,0.024,0.061,
10-1074,3103_V3_C10,0.004,0.029,
10-1074,3103_V3_C10,0.037,0.101,
10-1074,3168_V4_C10,0.391,,
10-1074,3168_V4_C10,0.382,,
10-1074,3168_V4_C10,0.391,,
10-1074,3168_V4_C10,0.531,1.47,
10-1074,3168_V4_C10,0.391,,
10-1074,3168_V4_C10,0.391,1.41,
10-1074,3168_V4_C10,0.382,1.264,
10-1074,318_AT_SGA1,0.080,,
10-1074,318_AT_SGA8,0.030,,
10-1074,318_BT_SGA1,0.001,,
10-1074,318_BT_SGA4,0.001,,
10-1074,318_BT_SGA5,0.001,,
10-1074,318_TF_SGA2,0.001,,
10-1074,329_14_B1,0.008,,
10-1074,330_14_A12,0.04,,
10-1074,330_16_A2,1.02,,
10-1074,330_16_D4,1.54,,
10-1074,330_16_H2,0.99,,
10-1074,3301_V1_C24,0.018,,
10-1074,3301_V1_C24,0.001,,
10-1074,3301_V1_C24,0.02,,
10-1074,3301_V1_C24,0.001,,
10-1074,3301_V1_C24,0.013,,
10-1074,3301_V1_C24,0.023,0.055,
10-1074,3301_V1_C24,0.018,0.049,
10-1074,3301_V1_C24,0.018,,
10-1074,3301_V1_C24,0.003,0.024,
