Antibody,Virus,IC50,IC80,ID50
10-1074,3426_V5_C17,0.008,0.024,
10-1074,3468_V1_C12,0.006,,
10-1074,3468_V1_C12,0.0007,,
10-1074,3468_V1_C12,0.0007,,
10-1074,3468_V1_C12,0.012,0.031,
10-1074,3468_V1_C12,0.006,,
10-1074,3468_V1_C12,0.006,0.031,
10-1074,346_F4_D2_12,0.051,,
10-1074,346_F4_D2_12,0.051,0.221,
10-1074,3514597,0.099,,
10-1074,3514597,0.099,0.293,
10-1074,3603_C11_13,0.027,,
10-1074,3603_C11_13,0.027,0.101,
10-1074,377_V4_C09,0.354,,
10-1074,377_V4_C09,0.354,1.712,
10-1074,3817_V2_C59,0.308,,
10-1074,3817_V2_C59,0.308,,
10-1074,3817_V2_C59,1.151,,
10-1074,3817_V2_C59,0.308,,
10-1074,3817_V2_C59,3.148,,
10-1074,3817_V2_C59,0.248,1.37,
10-1074,3817_V2_C59,0.706,4.492,
10-1074,3817_V2_C59,0.308,,
10-1074,3817_V2_C59,1.59,6.4,
10-1074,3817_V2_C59,0.308,3.17,
10-1074,3817_V2_C59,3.148,14.88,
10-1074,3873_V1_C24,0.019,,
10-1074,3873_V1_C24,0.058,,
10-1074,3873_V1_C24,0.019,,
10-1074,3873_V1_C24,0.093,0.247,
10-1074,3873_V1_C24,0.019,,
10-1074,3873_V1_C24,0.019,0.152,
10-1074,3873_V1_C24,0.058,0.19,
10-1074,3988_25,0.0007,,
10-1074,3988_25,0.0007,,
10-1074,3988_25,0.015,0.031,
10-1074,3988_25,0.016,,
10-1074,3988_25,0.016,0.034,
10-1074,398_F1_F6_20,0.0003,,
10-1074,398_F1_F6_20,0.0003,,
10-1074,398_F1_F6_20,0.013,0.038,
10-1074,398_F1_F6_20,0.015,0.056,
10-1074,398_F1_F6_20,0.017,,
10-1074,398_F1_F6_20,0.012,0.046,
10-1074,398_F1_F6_20,0.017,0.06,
10-1074,398_F1_F6_20,0.003,0.012,
10-1074,398_F1_F6_20,0.011,0.036,
10-1074,398_F1_F6_20,0.01361,,
10-1074,40100_V01_MN01,1.29,,
10-1074,4236_BL_A9_1,0.003,0.025,
10-1074,4236_BL_C1_1,0.032,0.124,
10-1074,4236_BL_C5_3,0.093,0.306,
10-1074,45_01DG5,0.0008,,
10-1074,45_01DG5,0.0008,,
10-1074,45_01DG5,0.019,0.035,
10-1074,45_01DG5,0.007,0.057,
10-1074,451_TF_SGA2,0.020,,
10-1074,556_F2_3_25,0.078,,
10-1074,556_F2_3_25,0.078,0.261,
10-1074,569_F1_37_10,0.869,,
10-1074,569_F1_37_10,0.869,5.453,
10-1074,57128_VRC15,0.252,,
10-1074,57128_VRC15,0.252,,
10-1074,57128_VRC15,0.252,,
10-1074,57128_VRC15,0.288,1.28,
10-1074,57128_VRC15,0.252,,
10-1074,57128_VRC15,0.252,1.36,
10-1074,57128_VRC15,0.41,3.136,
10-1074,5768_4,0.314,,
10-1074,5768_4,0.314,,
10-1074,5768_4,1.41,>50,
10-1074,5768_4,0.314,,
10-1074,5768_4,0.314,2.4,
10-1074,6022_V7_C24,0.017,,
10-1074,6022_V7_C24,0.017,0.046,
10-1074,6041_V3_C23,21.72,,
10-1074,6101_1,0.001,,
10-1074,6101_1,0.001,,
10-1074,6101_1,0.02,0.06,
10-1074,6101_1,0.03,0.101,
10-1074,6113_BL_A3_4,0.002,0.022,
10-1074,6113_BL_A5_4,0.004,0.015,
10-1074,6113_BL_B4_3,0.022,0.074,
10-1074,6113_BL_C10_4,0.02,0.061,
10-1074,6113_BL_D6_4,0.01,0.032,
10-1074,6113_V14_A10_1,0.03,0.11,
10-1074,6113_V14_A11_1,0.04,0.136,
10-1074,6113_V14_B5_2,0.004,0.017,
10-1074,6113_V14_C7_3,0.006,0.03,
10-1074,6113_V14_D8_2,0.014,0.052,
10-1074,6113_V14_E1_2,0.008,0.027,
10-1074,6113_V14_G11_1,0.01,0.031,
10-1074,611_D14_MH8,0.234,,
10-1074,611_D14_MI10,0.029,,
10-1074,6146_V7_C23,0.002,,
10-1074,6146_V7_C23,0.002,0.008,
10-1074,6240_08_TA5_4622,0.087,,
10-1074,6240_08_TA5_4622,0.068,,
10-1074,6240_08_TA5_4622,0.038,0.131,
10-1074,6240_08_TA5_4622,0.028,0.166,
10-1074,6240_08_TA5_4622,0.068,0.306,
10-1074,6244_13_B5_4567,0.197,,
10-1074,6244_13_B5_4567,0.202,,
10-1074,6244_13_B5_4567,0.091,0.380,
10-1074,6244_13_B5_4567,0.108,0.48,
10-1074,6244_13_B5_4567,0.202,0.922,
10-1074,6292_BL_A4_1,0.023,0.068,
10-1074,6292_BL_B2_1,0.013,0.035,
10-1074,6292_BL_C4_1,0.027,0.079,
10-1074,6292_BL_D2_3,0.025,0.069,
10-1074,6292_BL_D4_1,0.016,0.046,
10-1074,6292_BL_F2_2,0.019,0.074,
10-1074,6292_BL_G2_1,0.013,0.035,
10-1074,6292_BL_G4_3,0.025,0.075,
10-1074,6292_BL_H4_2,0.032,0.088,
10-1074,6292_V7_C8_1,0.277,1.883,
10-1074,6405_V4_C34,0.007,,
10-1074,6405_V4_C34,0.007,,
10-1074,6405_V4_C34,0.007,,
10-1074,6405_V4_C34,0.045,0.119,
10-1074,6405_V4_C34,0.007,,
10-1074,6405_V4_C34,0.007,0.065,
10-1074,6405_V4_C34,0.039,0.111,
10-1074,6471_V1_C16,0.827,,
10-1074,6471_V1_C16,0.827,,
10-1074,6471_V1_C16,2.202,,
10-1074,6471_V1_C16,0.827,,
10-1074,6471_V1_C16,0.559,3.33,
10-1074,6471_V1_C16,0.827,,
10-1074,6471_V1_C16,0.827,3.29,
10-1074,6471_V1_C16,2.202,14.646,
10-1074,6480_V4_C25,0.005,,
10-1074,6480_V4_C25,0.009,,
10-1074,6480_V4_C25,0.006,0.023,
10-1074,6480_V4_C25,0.009,0.041,
10-1074,651_AT_SGA2,0.260,,
10-1074,651_AT_SGA5,0.371,,
10-1074,651_AT_SGA8,0.450,,
10-1074,651_LN_C40,0.210,,
10-1074,651_LN_C43,0.410,,
10-1074,6535_3,0.001,,
10-1074,6535_3,0.013,,
10-1074,6535_3,0.001,,
10-1074,6535_3,0.014,,
10-1074,6535_3,0.013,0.037,
10-1074,6535_3,0.007,0.022,
10-1074,6535_3,0.018,,
10-1074,6535_3,0.011,0.046,
10-1074,6535_3,0.018,0.068,
10-1074,6535_3,0.01,,
10-1074,6535_3,0.014,0.026,
10-1074,6535_3,0.012,,
10-1074,6592_V7_C25,0.007,0.017,
10-1074,6631_V3_C10,0.158,,
10-1074,6631_V3_C10,0.158,,
10-1074,6631_V3_C10,0.341,,
10-1074,6631_V3_C10,0.158,,
10-1074,6631_V3_C10,0.21,0.719,
10-1074,6631_V3_C10,0.158,,
10-1074,6631_V3_C10,0.158,0.8,
10-1074,6631_V3_C10,0.341,1.539,
10-1074,6644_V2_C33,0.002,,
10-1074,6644_V2_C33,0.002,,
10-1074,6644_V2_C33,0.04,,
10-1074,6644_V2_C33,0.002,,
10-1074,6644_V2_C33,0.038,0.1,
10-1074,6644_V2_C33,0.002,,
10-1074,6644_V2_C33,0.002,0.09,
10-1074,6644_V2_C33,0.04,0.168,
10-1074,6775_BL_F5_2,0.01,0.037,
10-1074,6775_BL_G10_2,0.003,0.022,
10-1074,6775_BL_G3_4,0.006,0.024,
10-1074,6775_BL_H10_4,0.002,0.017,
10-1074,6775_BL_H7_3,0.009,0.035,
10-1074,6785_V5_C14,0.004,,
10-1074,6785_V5_C14,0.004,,
10-1074,6785_V5_C14,0.028,,
10-1074,6785_V5_C14,0.004,,
10-1074,6785_V5_C14,0.031,0.067,
10-1074,6785_V5_C14,0.004,,
10-1074,6785_V5_C14,0.004,0.033,
10-1074,6785_V5_C14,0.028,0.079,
10-1074,6811_V7_C18,0.002,,
10-1074,6811_V7_C18,0.002,,
10-1074,6811_V7_C18,0.003,0.009,
10-1074,6811_V7_C18,0.001,0.01,
10-1074,6811_V7_C18,0.002,0.01,
10-1074,6838_V1_C35,0.611,,
10-1074,6838_V1_C35,0.611,,
10-1074,6838_V1_C35,5.261,,
10-1074,6838_V1_C35,0.611,,
10-1074,6838_V1_C35,0.611,,
10-1074,6838_V1_C35,0.611,4.74,
10-1074,6838_V1_C35,5.261,>20,
10-1074,693_1969_V11_A4_2_REBOUND,0.048,0.136,
10-1074,693_1969_V11_B11_2_REBOUND,0.035,0.107,
10-1074,693_1969_V11_B12_1_REBOUND,0.014,0.054,
10-1074,693_1969_V11_B1_7_REBOUND,0.005,0.026,
10-1074,693_1969_V11_B3_1_REBOUND,0.028,0.1,
10-1074,693_1969_V11_C11_4_REBOUND,0.015,0.059,
10-1074,693_1969_V2_A11_1_BASELINE,0.004,0.016,
10-1074,693_1969_V2_A2_3_BASELINE,0.015,0.048,
10-1074,693_1969_V2_A7_1_BASELINE,0.008,0.032,
10-1074,693_1969_V2_A9_1_BASELINE,0.007,0.025,
10-1074,693_1969_V2_C11_8_BASELINE,0.014,0.051,
10-1074,693_1969_V2_C3_11_BASELINE,0.033,0.091,
10-1074,693_1969_V2_D2_3_BASELINE,0.021,0.063,
10-1074,693_1969_V2_D7_8_BASELINE,0.008,0.026,
10-1074,693_1969_V2_D8_3_BASELINE,0.02,0.049,
10-1074,693_7312_V2_A2_2_BASELINE,0.1,0.358,
10-1074,693_7312_V2_A3_3_BASELINE,0.094,0.351,
10-1074,693_7989_V2_B4_4_BASELINE,0.003,0.013,
10-1074,693_7989_V2_B8_2_BASELINE,0.001,0.005,
10-1074,693_7989_V2_C4_2_BASELINE,0.002,0.005,
10-1074,693_7989_V2_C4_4_1_BASELINE,0.002,0.008,
10-1074,693_7989_V2_F1_2_BASELINE,0.008,0.019,
10-1074,693_7989_V2_F9_4_BASELINE,0.01,0.025,
10-1074,693_7989_V9_A11_1_REBOUND,0.001,0.006,
10-1074,693_7989_V9_D8_1_REBOUND,0.097,0.814,
10-1074,693_7989_V9_D9_1_REBOUND,0.055,0.299,
10-1074,6952_V1_C20,0.03,,
10-1074,6952_V1_C20,0.037,,
10-1074,6952_V1_C20,0.023,0.086,
10-1074,6952_V1_C20,0.002,0.022,
10-1074,6952_V1_C20,0.037,0.138,
10-1074,703010010_C4,0.031,,
10-1074,703010010_C4,0.031,0.158,
10-1074,703010200_1E5,0.01,,
10-1074,703010200_1E5,0.009,,
10-1074,703010200_1E5,0.006,,
10-1074,703010200_1E5,0.009,0.019,
10-1074,703010200_1E5,0.007,0.033,
10-1074,703010200_1E5,0.006,0.021,
10-1074,703010200_1E5,0.009,0.019,
10-1074,703010217_B6,0.004,,
10-1074,703010217_B6,0.007,,
10-1074,703010217_B6,0.004,,
10-1074,703010217_B6,0.011,0.027,
10-1074,703010217_B6,0.041,0.099,
10-1074,703010217_B6,0.011,,
10-1074,703010217_B6,0.007,0.035,
10-1074,703010217_B6,0.004,0.025,
10-1074,703010217_B6,0.007,0.021,
10-1074,703010217_B6,0.008,0.029,
10-1074,703010217_B6,0.006638,,
10-1074,704010083_B8,0.238,,
10-1074,704010083_B8,0.238,1.08,
10-1074,704809221_1B3,0.102,,
10-1074,704809221_1B3,0.084,,
10-1074,704809221_1B3,0.139,,
10-1074,704809221_1B3,0.084,0.395,
10-1074,704809221_1B3,0.093,0.572,
10-1074,704809221_1B3,0.139,0.696,
10-1074,704809221_1B3,0.084,0.395,
10-1074,705010198_TF,0.048,,
10-1074,705010198_TF,0.048,0.137,
10-1074,706010164_1A7,0.033,,
10-1074,706010164_1A7_REV,0.033,0.114,
10-1074,714909105_10,1.29,,
10-1074,714909105_14,1.47,,
10-1074,714909105_15,0.69,,
10-1074,714909105_17,0.85,,
10-1074,714909105_20,1.17,,
10-1074,714909105_21,1.79,,
10-1074,714909105_22,1.31,,
10-1074,714909105_27,0.89,,
10-1074,714909105_32,0.94,,
10-1074,714909105_5,0.55,,
10-1074,714909105_6,0.45,,
10-1074,714909105_7,0.88,,
10-1074,7165_18,0.008,,
10-1074,7165_18,0.008,,
10-1074,7165_18,0.07,0.165,
10-1074,7165_18,0.008,,
10-1074,7165_18,0.008,0.069,
10-1074,722_G4_16,0.006,,
10-1074,722_G4_16,0.006,0.023,
10-1074,783_V0_C51,0.002,0.008,
10-1074,851891_4_15,0.032,0.09,
10-1074,89_6,0.002,,
10-1074,89_6,0.002,,
10-1074,89_6,0.019,0.06,
10-1074,89_6,0.002,,
10-1074,89_6,0.002,0.014,
10-1074,9004SS_A3_4,0.015,,
10-1074,9004SS_A3_4,0.011,,
10-1074,9004SS_A3_4,0.012,0.032,
10-1074,9004SS_A3_4,0.003,0.014,
10-1074,9004SS_A3_4,0.011,0.03,
10-1074,9004SS_A3_4,0.011,0.03,
10-1074,9009SA_A4_2,0.524,1.785,
10-1074,91C22_D0_S50_A5,0.004,0.01,
10-1074,91C22_D0_S52_A6,0.003,0.008,
10-1074,91C22_D0_S68_A2,0.003,0.008,
10-1074,91C22_D0_S86_A10,0.003,0.008,
10-1074,91C22_W14_S28_B3,0.003,0.008,
10-1074,91C22_W14_S31_B1,0.058,0.189,
10-1074,91C22_W14_S34_A11,0.05,0.179,
10-1074,91C22_W14_S48_B4,0.002,0.008,
10-1074,91C22_W16_S42_B7,0.003,0.007,
10-1074,91C33_D0_S17_A3,0.078,0.273,
10-1074,91C33_D0_S63_A5,0.077,0.219,
10-1074,91C33_D0_S82_A4,0.053,0.203,
10-1074,91C34_D0_S15_0_4,0.026,0.113,
10-1074,91C34_D0_S33_0_1,0.017,0.081,
10-1074,91C34_D0_S35_0_2,0.025,0.084,
10-1074,91C34_D0_S7_0_10,0.006,0.027,
10-1074,91C34_W12_S1_12_1,0.094,0.64,
10-1074,91C34_W12_S19_12_8,0.021,0.074,
10-1074,91C34_W12_S4_12_2,0.075,0.323,
10-1074,91C34_W12_S6_12_7,0.017,0.189,
10-1074,91C34_W6_S43_6_4,0.062,0.403,
10-1074,91C34_W6_S52_6_6,0.073,0.427,
10-1074,91C35_D0_S13_A2,0.001,0.003,
10-1074,91C35_D0_S14_A3,0.002,0.006,
10-1074,91C35_D0_S35_A7,0.002,0.004,
10-1074,91C35_D0_S41_A10,0.002,0.008,
10-1074,91C35_D0_S62_A12,0.001,0.005,
10-1074,91C35_D0_S66_B1,0.002,0.007,
10-1074,9246_PRE_I10,0.006,0.02,
10-1074,9246_W12_12K21,0.005,0.013,
10-1074,9246_W12_12P1,0.008,0.024,
10-1074,9250_PRE_F17,0.047,0.282,
10-1074,9250_PRE_L5,0.035,0.208,
10-1074,9251_PRE_G5,0.007,0.021,
10-1074,9252_PRE_E14,0.026,0.088,
10-1074,9252_PRE_H7,0.017,0.083,
10-1074,9252_W12_12Q1,0.025,0.104,
10-1074,9253_PRE_F22,0.447,2.835,
10-1074,9254_W12_12A13,0.03,0.084,
10-1074,9254_W12_12A5,0.014,0.048,
10-1074,9255_PRE_A23,0.001,0.003,
10-1074,9255_PRE_B1,0.002,0.007,
10-1074,928_28,0.53,,
10-1074,928_28,0.53,,
10-1074,928_28,1.911,,
10-1074,928_28,0.53,,
10-1074,928_28,0.847,,
10-1074,928_28,0.601,2.14,
10-1074,928_28,0.616,2.396,
10-1074,928_28,0.53,,
10-1074,928_28,1.21,3.72,
10-1074,928_28,0.53,2.1,
10-1074,928_28,0.847,4.696,
10-1074,928_28,0.7,,
10-1074,928_28,0.761,,
10-1074,928_28_L669S,0.5,,
10-1074,928_28_Y681H,0.5,,
10-1074,92BR025_9,0.002,,
10-1074,92BR025_9,0.0003,,
10-1074,92BR025_9,0.0003,,
10-1074,92BR025_9,0.007,0.015,
10-1074,92BR025_9,0.002,,
10-1074,92BR025_9,0.002,0.014,
10-1074,92RW020_2,0.002,,
10-1074,92RW020_2,0.0003,,
10-1074,92RW020_2,0.0003,,
10-1074,92RW020_2,0.005,0.013,
10-1074,92RW020_2,0.002,,
10-1074,92RW020_2,0.002,0.009,
10-1074,92RW020_2,0.005,0.019,
10-1074,92RW020_2,0.002,,
10-1074,9341_D0_S66_B5,0.132,0.475,
10-1074,9341_D0_S76_A12,0.205,0.721,
10-1074,9341_D0_S85_A5,0.149,0.424,
10-1074,9341_D0_S87_B4,0.067,0.292,
10-1074,9341_D0_S90_B2A,0.156,0.71,
10-1074,9342_D0_S10_B6,0.019,0.056,
10-1074,9342_D0_S15_B7,0.026,0.07,
10-1074,9342_D0_S16_B3,0.028,0.085,
10-1074,9342_D0_S18_B5,0.019,0.055,
10-1074,9342_D0_S19_B8,0.081,0.426,
10-1074,9342_D0_S21_B2,0.03,0.084,
10-1074,9342_D0_S29_B1,0.016,0.054,
10-1074,9342_W20_S50_A1,0.016,0.037,
10-1074,9342_W20_S58_A3,0.057,0.192,
10-1074,9343_D0_S44_A3,0.005,0.018,
10-1074,9343_D0_S45_A5,0.013,0.031,
10-1074,9343_D0_S54_A8,0.018,0.053,
10-1074,9343_D0_S60_A1,0.014,0.038,
10-1074,9343_D0_S62_A6,0.011,0.033,
10-1074,96ZM651_02,0.002,,
10-1074,96ZM651_02,0.002,,
10-1074,96ZM651_02,0.002,,
10-1074,96ZM651_02,0.033,0.097,
10-1074,96ZM651_02,0.091,1.915,
10-1074,96ZM651_02,0.07171,0.1507,
10-1074,96ZM651_02,0.002,,
10-1074,96ZM651_02,0.002,0.017,
10-1074,98_F4_H5_13,0.962,,
10-1074,98_F4_H5_13,0.962,2.727,
10-1074,A03349M1_VRC4A,0.01,,
10-1074,A03349M1_VRC4A,0.01,,
10-1074,A03349M1_VRC4A,0.01,,
10-1074,A03349M1_VRC4A,0.071,0.32,
10-1074,A03349M1_VRC4A,0.01,,
10-1074,A03349M1_VRC4A,0.01,0.178,
10-1074,A03349M1_VRC4A,0.191,3.154,
10-1074,A07412M1_VRC12,0.0003,,
10-1074,A07412M1_VRC12,0.014,,
10-1074,A07412M1_VRC12,0.0003,,
10-1074,A07412M1_VRC12,0.001,,
10-1074,A07412M1_VRC12,0.017,0.038,
10-1074,A07412M1_VRC12,0.011,0.037,
10-1074,A07412M1_VRC12,0.01,0.038,
10-1074,A07412M1_VRC12,0.021,0.046,
10-1074,A08483M1_VRC9,19.533,>50,
10-1074,AC10_29,0.025,,
10-1074,AC10_29,0.037,,
10-1074,AC10_29,0.025,,
10-1074,AC10_29,0.022,,
10-1074,AC10_29,0.032,0.112,
10-1074,AC10_29,0.015,0.043,
10-1074,AC10_29,0.025,,
10-1074,AC10_29,0.02,0.084,
10-1074,AC10_29,0.025,0.109,
10-1074,AC10_29,0.022,0.11,
10-1074,AC10_29,0.02,,
10-1074,ADA,0.003,,
10-1074,ADA,0.003,,
10-1074,ADA,0.041,0.099,
10-1074,ADA,0.003,,
10-1074,ADA,0.003,0.042,
10-1074,AIIMS704_70401,0.002,,
10-1074,AIIMS704_70402,0.063,,
10-1074,AIIMS704_70403,0.001,,
10-1074,AIIMS704_70405,0.071,,
10-1074,AIIMS704_70406,0.002,,
10-1074,AIIMS704_70408,0.004,,
10-1074,AIIMS704_70414,0.067,,
10-1074,AIIMS704_70421,0.078,,
10-1074,AIIMS706_70604B,0.091,,
10-1074,AIIMS706_70606A,0.761,,
10-1074,AIIMS706_70606B,0.118,,
10-1074,AIIMS706_70606F,0.078,,
10-1074,AIIMS706_70606Z,0.002,,
10-1074,AIIMS706_70607A,0.081,,
10-1074,AIIMS706_70607B,0.091,,
10-1074,AIIMS706_70607C,0.167,,
10-1074,AIIMS706_70607F,0.005,,
10-1074,AIIMS731_73105B,3.654,,
10-1074,AIIMS731_73105C,4.526,,
10-1074,AIIMS731_73105D,3.256,,
10-1074,AIIMS731_73105E,3.065,,
10-1074,AIIMS731_73105H,2.451,,
10-1074,AIIMS731_73106F,4.125,,
10-1074,AIIMS743_74311B,8.71,,
10-1074,B001_ENV02,0.04,,
10-1074,B001_ENV06,0.02,,
10-1074,B002_ENV03,0.02,,
10-1074,B005582_7_G7_8,0.034,,
10-1074,B005582_7_G7_8,0.034,0.156,
10-1074,B005_ENV03,1.19,,
10-1074,B006_ENV02,0.09,,
10-1074,B006_ENV10,0.02,,
10-1074,B007_ENV01,0.04,,
10-1074,B007_ENV06,0.04,,
10-1074,B008_ENV05,0.70,,
10-1074,B009_ENV11,5.84,,
10-1074,B010_ENV09,0.02,,
10-1074,B011_ENV04,0.06,,
10-1074,B012_ENV02,0.02,,
10-1074,B013_ENV02,0.17,,
10-1074,B015_ENV04,0.02,,
10-1074,B015_ENV07,0.06,,
10-1074,B016_ENV01,0.02,,
10-1074,B016_ENV02,0.34,,
10-1074,B020_ENV06,0.02,,
10-1074,B021_ENV03,0.09,,
10-1074,B021_ENV08,0.02,,
10-1074,B023_ENV09,0.40,,
10-1074,B024_ENV01,0.12,,
10-1074,B025_ENV04,0.05,,
10-1074,B026_ENV05,0.09,,
10-1074,B027_ENV01,0.12,,
10-1074,B027_ENV08,0.06,,
10-1074,B030_ENV09,3.94,,
10-1074,B032_ENV07,0.11,,
10-1074,B033_ENV02,0.10,,
10-1074,B035_ENV09,0.80,,
10-1074,B036_ENV03,0.04,,
10-1074,B036_ENV13,0.02,,
10-1074,B037_ENV02,0.24,,
10-1074,B037_ENV16,0.02,,
10-1074,B039_ENV02,0.08,,
10-1074,BAL_01,0.003,,
10-1074,BAL_01,0.003,,
10-1074,BAL_01,0.032,0.09,
10-1074,BAL_01,0.003,,
10-1074,BAL_01,0.003,0.029,
10-1074,BAL_26,0.004,,
10-1074,BAL_26,0.004,,
10-1074,BAL_26,0.026,0.099,
10-1074,BAL_26,0.004,,
10-1074,BAL_26,0.004,0.032,
10-1074,BAL_26,0.02,,
10-1074,BAL_26,0.033,0.124,
10-1074,BB201_B42,0.021,,
10-1074,BB201_B42,0.0003,,
10-1074,BB201_B42,0.0003,,
10-1074,BB201_B42,0.012,0.03,
10-1074,BB201_B42,0.021,,
10-1074,BB201_B42,0.021,0.093,
10-1074,BG505_W6M_C2,0.015,0.076,
10-1074,BG505_W6M_C2,0.01347,0.03604,
10-1074,BG505_W6M_C2_T332N,0.007,0.022,
10-1074,BG505_W6M_C2_T332N,0.02531,,
10-1074,BI369_9A,0.002,,
10-1074,BI369_9A,0.002,,
10-1074,BI369_9A,0.002,,
10-1074,BI369_9A,0.05,0.161,
10-1074,BI369_9A,0.002,,
10-1074,BI369_9A,0.002,0.015,
10-1074,BJOX002000_03_2,0.011,,
10-1074,BJOX002000_03_2,0.011,,
10-1074,BJOX002000_03_2,0.012,0.035,
10-1074,BJOX002000_03_2,0.011,0.032,
10-1074,BJOX002000_03_2,0.01745,0.04755,
10-1074,BJOX002000_03_2,0.013,,
10-1074,BJOX002000_03_2,0.017,0.058,
10-1074,BJOX002000_03_2,0.011,0.045,
10-1074,BJOX002000_03_2,0.017,0.044,
10-1074,BJOX002000_03_2,0.01181,,
10-1074,BJOX003000_19_1,0.168,,
10-1074,BJOX019000_02_1,0.0928,,
10-1074,BJOX029000_03_1,0.0457,,
10-1074,BL01,5.28,,
10-1074,BL01,5.28,,
10-1074,BL01,3.41,14.1,
10-1074,BL01,5.28,,
10-1074,BL01,5.28,32.6,
10-1074,BR07,0.015,,
10-1074,BR07,0.015,,
10-1074,BR07,0.095,0.325,
10-1074,BR07,0.015,,
10-1074,BR07,0.015,0.19,
10-1074,BS208_B1,15.1,,
10-1074,BS208_B1,15.1,,
10-1074,BS208_B1,15.1,,
10-1074,BS208_B1,15.1,,
10-1074,BS208_B1,15.1,>50,
10-1074,BX08_16,0.0003,,
10-1074,BX08_16,0.0003,,
10-1074,BX08_16,0.008,0.017,
10-1074,BX08_16,0.008,,
10-1074,BX08_16,0.008,0.038,
10-1074,CA146_H3_3,0.013,,
10-1074,CA146_H3_3,0.013,0.047,
10-1074,CA240_A5_5,0.004,,
10-1074,CA240_A5_5,0.004,0.014,
10-1074,CA327_D2_2,0.001,,
10-1074,CA327_D2_2,0.001,0.014,
10-1074,CA392_H2_6,0.086,,
10-1074,CA392_H2_6,0.086,0.319,
10-1074,CA457_H1_1,0.017,,
10-1074,CA457_H1_1,0.017,0.05,
10-1074,CAAN5342,0.0008,,
10-1074,CAAN5342,0.014,,
10-1074,CAAN5342,0.0008,,
10-1074,CAAN5342,0.007,,
10-1074,CAAN5342,0.016,0.043,
10-1074,CAAN5342,0.005,0.019,
10-1074,CAAN5342,0.014,,
10-1074,CAAN5342,0.002,0.021,
10-1074,CAAN5342,0.014,0.056,
10-1074,CAAN5342,0.007,0.036,
10-1074,CAP136_1_16_E6_1,0.05,,
10-1074,CAP136_1_16_E6_1,0.05,0.165,
10-1074,CAP174_1_06_F3_1B,0.009,,
10-1074,CAP174_1_06_F3_1B,0.009,0.028,
10-1074,CAP200_B8A,0.025,,
10-1074,CAP200_B8A,0.025,0.07,
10-1074,CAP206_1_B5_Y681D,0.058,,
10-1074,CAP206_1_B5_Y681D,0.058,0.163,
10-1074,CAP224_1_18_C7_3,0.049,,
10-1074,CAP224_1_18_C7_3,0.049,0.17,
10-1074,CAP225_1_06_A2_18,0.25,,
10-1074,CAP225_1_06_A2_18,0.25,0.914,
10-1074,CAP244_D3,41.1,,
10-1074,CAP244_D3,41.1,,
10-1074,CAP244_D3,41.1,,
10-1074,CAP244_D3,41.1,,
10-1074,CAP244_D3,41.1,>50,
10-1074,CAP256_SU,0.03,,
10-1074,CAP256_SU,0.03,,
10-1074,CAP256_SU,0.03,,
10-1074,CAP256_SU,0.027,0.073,
10-1074,CAP256_SU,0.03,0.095,
10-1074,CAP290_2_00_23_6,7.994,,
10-1074,CAP290_2_00_23_6,7.994,>20,
10-1074,CAP291_2_00_H2_15,0.083,,
10-1074,CAP291_2_00_H2_15,0.083,0.276,
10-1074,CAP292_2_00_12_4,0.123,,
10-1074,CAP292_2_00_12_4,0.123,0.45,
10-1074,CAP301_2_00_C3_20,0.005,,
10-1074,CAP301_2_00_C3_20,0.005,0.017,
10-1074,CAP304_2_00_F6_6,0.678,,
10-1074,CAP304_2_00_F6_6,0.678,4.313,
10-1074,CAP306_2_00_F9_1,0.08,,
10-1074,CAP306_2_00_F9_1,0.08,0.36,
10-1074,CAP307_2_00_24_1,0.076,,
10-1074,CAP307_2_00_24_1,0.076,0.262,
10-1074,CAP308_2_00_E11_35,0.533,,
10-1074,CAP308_2_00_E11_35,0.533,2.991,
10-1074,CAP323_2_00_B6_45,0.105,,
10-1074,CAP323_2_00_B6_45,0.105,1.52,
10-1074,CAP327_2_00_C6_37,0.576,,
10-1074,CAP327_2_00_C6_37,0.576,3.115,
10-1074,CAP331_2_00_D7_39,0.005,,
10-1074,CAP331_2_00_D7_39,0.005,0.014,
10-1074,CAP332_2_00_C10_1,0.14,,
10-1074,CAP332_2_00_C10_1,0.14,0.332,
10-1074,CAP340_2_00_B3_16,0.014,,
10-1074,CAP340_2_00_B3_16,0.014,0.049,
10-1074,CAP341_2_00_C10_18,0.003,,
10-1074,CAP341_2_00_C10_18,0.003,0.013,
10-1074,CAP343_2_00_21_2,0.042,,
10-1074,CAP343_2_00_21_2,0.042,0.118,
10-1074,CAP347_2_00_B1_1,0.682,,
10-1074,CAP347_2_00_B1_1,0.682,5.982,
10-1074,CAP363_2_00_10_3,0.036,,
10-1074,CAP363_2_00_10_3,0.036,0.103,
10-1074,CAP37_1_18_D2_19,0.005,,
10-1074,CAP37_1_18_D2_19,0.005,0.014,
10-1074,CAP382_2_00_D7_19,5.885,,
10-1074,CAP382_2_00_D7_19,5.885,19.983,
10-1074,CAP40_2_01_A3_5,0.052,,
10-1074,CAP40_2_01_A3_5,0.052,0.219,
10-1074,CAP69_1_12_TA7_1,0.024,,
10-1074,CAP69_1_12_TA7_1,0.024,0.069,
10-1074,CE0089_G2,0.03,,
10-1074,CE0089_G2,0.03,0.084,
10-1074,CE0626_E6,0.067,,
10-1074,CE0626_E6,0.067,0.181,
